26-03-2024 00:19:43.708 [main] INFO  c.t.d.service.DevicestatusService.getRoaming - No se ha encontrado el cliente con MSISDN, no se puede devolver el estado de roaming: +34623456701
26-03-2024 00:28:26.681 [background-preinit] INFO  o.h.validator.internal.util.Version.<clinit> - HV000001: Hibernate Validator 8.0.1.Final
26-03-2024 00:28:26.697 [main] INFO  c.t.d.c.DevicestatusControllerTest.logStarting - Starting DevicestatusControllerTest using Java 17.0.10 with PID 531036 (started by alejandro in /home/alejandro/TFM/devicestatus)
26-03-2024 00:28:26.697 [main] INFO  c.t.d.c.DevicestatusControllerTest.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
26-03-2024 00:28:27.890 [main] INFO  o.s.b.t.m.w.SpringBootMockServletContext.log - Initializing Spring TestDispatcherServlet ''
26-03-2024 00:28:27.891 [main] INFO  o.s.t.w.s.TestDispatcherServlet.initServletBean - Initializing Servlet ''
26-03-2024 00:28:27.893 [main] INFO  o.s.t.w.s.TestDispatcherServlet.initServletBean - Completed initialization in 1 ms
26-03-2024 00:28:27.905 [main] INFO  c.t.d.c.DevicestatusControllerTest.logStarted - Started DevicestatusControllerTest in 1.442 seconds (process running for 2.059)
26-03-2024 00:28:28.080 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils.detectDefaultConfigurationClasses - Could not detect default configuration classes for test class [com.tfm.devicestatus.service.DevicestatusServiceTest]: DevicestatusServiceTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
26-03-2024 00:28:28.091 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper.getOrFindConfigurationClasses - Found @SpringBootConfiguration com.tfm.devicestatus.DevicestatusApplication for test class com.tfm.devicestatus.service.DevicestatusServiceTest
26-03-2024 00:28:28.207 [main] INFO  c.t.d.s.DevicestatusServiceTest.logStarting - Starting DevicestatusServiceTest using Java 17.0.10 with PID 531036 (started by alejandro in /home/alejandro/TFM/devicestatus)
26-03-2024 00:28:28.208 [main] INFO  c.t.d.s.DevicestatusServiceTest.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
